Time;CL_1;CL_2;CL_3 ;FL5_1;FL5_2;FL5_3;FL50_1;FL50_2;FL50_3;FL500_1;FL500_2;FL500_3
0;0,146823;0,146823;0,146823;0,146823;0,146823;0,146823;0,146823;0,146823;0,146823;0,146823;0,146823;0,146823
3;0,43493;0,493615;0,537121;0,161847;0,151831;0,172175;0,235556;0,276244;0,383286;0,519124;0,46529;0,515837
5;0,676557;0,956995;0,853083;0,188451;0,19831;0,186729;0,377809;0,503474;0,654648;1,035869;0,803944;1,079687
10;1,049014;1,444006;1,706917;0,321315;0,412394;0,432113;0,811768;0,670923;0,634617;1,669358;1,23806;1,822723
